ID,Name,BP,N,m_edges,n1,n2,n3,n4,DRSO,mDRSO,SO,SDD,M1,M2,Randic,ABC,GA,R_equal,R_2,R_3,R_4,R_3_2,R_4_3,m12,m13,m14,m22,m23,m24,m33,m34,m44,WL_hash,sig_DRSO,sig_SDD,sig_SO
71,"2,3,3,4-tetramethylpentane",414.65,9,8,6,0,2,1,23.14904991357156,3.1315679078264265,30.89532189190884,25.999999999999996,40.0,44.0,3.886751345948129,6.289031580015587,7.043588252359328,0,0,4,2,0,2,0,4,2,0,0,0,0,2,0,d1591bd83e870af295c79757bebbb6d0,"(0, 0, 4, 2, 0, 2)",26/1,"(10, 0, 0, 4, 0, 2)"
72,"2,2-dimethyl-3-ethylpentane",406.98,9,8,5,2,1,1,20.959269528517897,3.5907789850112533,29.05255538278054,24.166666666666668,38.0,40.0,4.019385277895633,6.072000560467409,7.234953196001456,0,2,0,3,2,1,2,0,3,0,2,0,0,1,0,6417fea98f543d23d3ef205b533f9987,"(0, 2, 0, 3, 2, 1)",145/6,"(5, 0, 2, 0, 2, 3)"
73,"2,3-dimethyl-3-ethylpentane",414.75,9,8,5,2,1,1,19.8207362080211,3.5060689542038777,28.86406881095316,23.0,38.0,42.0,4.064696016533707,5.972942914753985,7.293030292507918,0,4,2,1,0,1,2,2,1,0,0,2,0,1,0,6a54a17cb7c5101d4fd39b25d6db9b68,"(0, 4, 2, 1, 0, 1)",23/1,"(5, 0, 6, 2, 0, 1)"
74,"2,4-dimethyl-3-ethylpentane",409.88,9,8,5,1,3,0,18.60530308870426,3.8336708244240905,26.97601126787586,22.0,36.0,38.0,4.09142281507558,6.013533219417333,7.386706553833089,2,1,4,0,1,0,1,4,0,0,1,0,2,0,0,265497717c852954080b5e1ee01f7ab9,"(2, 1, 4, 0, 1, 0)",22/1,"(0, 6, 1, 4, 1, 0)"
75,"3,3-diethylpentane",419.35,9,8,4,4,0,1,16.492422502470642,3.8805700005813284,26.832815729997478,20.0,36.0,40.0,4.242640687119285,5.6568542494923815,7.542472332656508,0,8,0,0,0,0,4,0,0,0,0,4,0,0,0,981afa688068621645c3fbdd3bfe2ee3,"(0, 8, 0, 0, 0, 0)",20/1,"(0, 0, 12, 0, 0, 0)"
76,decane,447.27,10,9,2,8,0,0,14.022600562229329,5.919889968451164,24.271125828222914,19.0,34.0,32.0,4.914213562373096,6.363961030678929,8.885618083164127,7,2,0,0,0,0,2,0,0,7,0,0,0,0,0,238eea6a49bee49b859f37868b4cb931,"(7, 2, 0, 0, 0, 0)",19/1,"(0, 14, 2, 0, 0, 0)"
77,2-methylnonane,440.15,10,9,3,6,1,0,16.811020350398604,5.292402011534655,26.308310197031492,21.333333333333336,36.0,34.0,4.770055610029662,6.582740630161286,8.654655746264211,5,1,2,0,1,0,1,2,0,5,1,0,0,0,0,60c5f9980a0bca92248d152092f17a20,"(5, 1, 2, 0, 1, 0)",64/3,"(0, 10, 1, 2, 1, 0)"
78,3-methylnonane,440.95,10,9,3,6,1,0,16.08137418842122,5.3482796012764044,26.159224665080703,20.666666666666664,36.0,35.0,4.8080604124904465,6.473350830420108,8.711235281175107,4,2,1,0,2,0,2,1,0,4,2,0,0,0,0,6f90c3edb24e70ef359c826eafe1b64a,"(4, 2, 1, 0, 2, 0)",62/3,"(0, 8, 2, 1, 2, 0)"
79,4-methylnonane,438.85,10,9,3,6,1,0,16.081374188421215,5.3482796012764044,26.159224665080703,20.666666666666664,36.0,35.0,4.8080604124904465,6.473350830420108,8.711235281175107,4,2,1,0,2,0,2,1,0,4,2,0,0,0,0,e82e0964fd0bd57955c8d531cf7d41fe,"(4, 2, 1, 0, 2, 0)",62/3,"(0, 8, 2, 1, 2, 0)"
80,5-methylnonane,438.25,10,9,3,6,1,0,16.081374188421215,5.3482796012764044,26.1592246650807,20.666666666666664,36.0,35.0,4.8080604124904465,6.473350830420108,8.711235281175107,4,2,1,0,2,0,2,1,0,4,2,0,0,0,0,314ccea57ecdfbb67b28fa902dc38c50,"(4, 2, 1, 0, 2, 0)",62/3,"(0, 8, 2, 1, 2, 0)"
